============================================================
Claude GT vs Cosmos — PPE detection (74 frames, per item)
============================================================

การละเมิด PPE จริง (Claude เห็น) ทั้งหมด: 24 จุด
  Cosmos จับได้         : 17  (71%)
  Cosmos พลาด (บอกใส่อยู่):  7  <- FALSE NEGATIVE
  Cosmos ไม่ตัดสิน (unknown):  0  <- พลาดเพราะมองไม่เห็น

Cosmos เตือนผิด (Claude เห็นว่าใส่อยู่): 0  <- FALSE POSITIVE

--- รายละเอียด: Cosmos พลาด (FN) ---
  02:09  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  02:12  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  02:15  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  02:42  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  03:33  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  03:36  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด
  03:39  w1 หน้ากาก     จริง=ถอด  Cosmos='on'  <- พลาด

--- รายละเอียด: Cosmos เตือนผิด (FP) ---
  (ไม่มี)

--- Cosmos จับถูก (caught) ---
  02:06  w1 หน้ากาก
  03:00  w2 หมวก
  03:03  w2 หมวก
  03:06  w2 หมวก
  03:09  w2 หมวก
  03:12  w2 หมวก
  03:15  w2 หมวก
  03:18  w2 หมวก
  03:21  w2 หมวก
  03:24  w2 หมวก
  03:27  w2 หมวก
  03:30  w2 หมวก
  03:33  w2 หมวก
  03:36  w2 หมวก
  03:36  w2 ถุงมือ
  03:39  w2 หมวก
  03:39  w2 ถุงมือ
